       1 00000011   0.0150  -0.0080  -0.0080  -0.0040    40    22    37    27   10.5    8.8   10.5    7.8    89    83    92    85
       2 00000011   0.0360   0.0190  -0.0020  -0.0020    32    21    38    21    8.5    8.4   10.8    5.6    85    83    90    75
       3 00000011   0.0400   0.0190  -0.0040  -0.0040    41    24    40    24   10.7    9.5   11.2    6.8    87    80    93    76
       4 00000011   0.0410   0.0070   0.0060   0.0040    36    25    46    26    9.5    9.9   12.4    7.5    87    88    94    87
       5 00000011   0.0220  -0.0070   0.0070   0.0090    38    32    35    28   10.0   12.0   10.1    8.1    89    92    88    87
       6 00000011   0.0360   0.0030   0.0080   0.0080    33    31    35    29    8.8   11.8   10.1    8.4    82    93    80    86
       7 00000011   0.0160  -0.0050   0.0130   0.0080    30    32    35    35    8.0   12.0   10.1   10.1    84    93    88    88
       8 00000011   0.0220   0.0010   0.0140   0.0080    40    33    30    27   10.5   12.3    8.7    7.8    90    95    85    76
       9 00000011   0.0200  -0.0140   0.0150   0.0060    34    31    28    28    9.0   11.8    8.1    8.1    79    91    85    83
      10 00000011  -0.0120  -0.0260   0.0310   0.0110    37    32    25    21    9.8   12.0    7.1    5.6    87    95    76    67
      11 00000011   0.0280  -0.0090   0.0220   0.0100    36    27    28    21    9.5   10.6    8.1    5.6    84    89    78    68
      12 00000011   0.0220   0.0070   0.0230   0.0110    35    24    26    23    9.3    9.5    7.5    6.4    85    87    81    70
      13 00000011   0.0160  -0.0260   0.0200   0.0100    31    28    27    21    8.2   10.9    7.8    5.6    82    87    85    65
      14 00000011   0.0590   0.0350   0.0120   0.0020    32    23    25    20    8.5    9.2    7.1    5.2    78    82    82    56
      15 00000011   0.0220  -0.0030   0.0060   0.0020    24    24    29    22    6.0    9.5    8.4    6.0    67    82    83    77
      16 00000011   0.0080   0.0210   0.0100   0.0000    23    20    28    20    5.7    8.0    8.1    5.2    76    77    78    78
      17 00000011  -0.0480   0.0070  -0.0040   0.0050    30    16    36    20    8.0    6.0   10.3    5.2    80    67    90    69
