       1 00000011   0.0260   0.0330   0.0300   0.0400    46    75    51    27   11.7   18.4   13.3    7.8    93    94    89    83
       2 00000011   0.0160   0.0270   0.0370   0.0420    40    67    45    30   10.5   17.4   12.2    8.7    89    84    84    90
       3 00000011   0.0200   0.0170   0.0480   0.0390    50    62    48    35   12.4   16.8   12.8   10.1    93    75    89    92
       4 00000011   0.0430   0.0390   0.0420   0.0500    63    58    43    31   14.4   16.2   11.8    9.0    96    71    87    88
       5 00000011   0.0280   0.0460   0.0480   0.0460    43    59    47    29   11.1   16.3   12.6    8.4    90    60    85    87
       6 00000011   0.0530   0.0540   0.0420   0.0470    45    60    51    29   11.5   16.5   13.3    8.4    94    57    82    84
       7 00000011   0.0610   0.0390   0.0420   0.0460    43    62    57    28   11.1   16.8   14.3    8.1    90    71    89    83
       8 00000011   0.0450   0.0660   0.0410   0.0460    35    63    54    33    9.3   16.9   13.8    9.5    86    73    88    88
       9 00000011   0.0380   0.0500   0.0410   0.0490    40    66    53    34   10.5   17.3   13.7    9.8    90    79    83    90
      10 00000011   0.0630   0.0150   0.0420   0.0460    39    62    47    30   10.2   16.8   12.6    8.7    90    73    84    86
      11 00000011   0.0470   0.0030   0.0510   0.0510    37    63    45    28    9.8   16.9   12.2    8.1    88    74    81    87
      12 00000011   0.0530   0.0150   0.0510   0.0520    49    60    47    22   12.2   16.5   12.6    6.0    92    70    86    78
      13 00000011   0.0400   0.0050   0.0600   0.0550    56    61    46    25   13.4   16.6   12.4    7.1    93    68    86    82
      14 00000011   0.0510   0.0440   0.0510   0.0500    40    61    46    26   10.5   16.6   12.4    7.5    89    77    85    82
      15 00000011   0.0510   0.0600   0.0420   0.0470    42    61    45    31   10.9   16.6   12.2    9.0    87    64    84    90
      16 00000011   0.0730   0.0350   0.0340   0.0370    38    57    45    26   10.0   16.0   12.2    7.5    87    56    86    82
      17 00000011   0.0510   0.0440   0.0350   0.0460    34    59    47    22    9.0   16.3   12.6    6.0    86    71    90    78
