       1 00000011   0.2460  -0.2380  -0.0400  -0.0220    41    25    38    27   10.7    9.9   10.8    7.8    60    48    79    59
       2 00000011   0.1210  -0.1670  -0.0940  -0.0850    36    22    43    24    9.5    8.8   11.8    6.8    56    66    90    54
       3 00000011   0.0520  -0.0670  -0.1480  -0.1350    39    24    49    25   10.2    9.5   13.0    7.1    82    73    94    73
       4 00000011   0.1220  -0.0410  -0.1430  -0.1320    38    21    35    30   10.0    8.4   10.1    8.7    81    78    93    88
       5 00000011   0.0930  -0.0260  -0.1280  -0.1330    32    21    29    24    8.5    8.4    8.4    6.8    82    82    84    80
       6 00000011   0.1050   0.0020  -0.1210  -0.1370    33    24    49    28    8.8    9.5   13.0    8.1    82    83    92    83
       7 00000011   0.0450   0.0340  -0.1210  -0.1400    42    29    48    29   10.9   11.2   12.8    8.4    87    82    91    82
       8 00000011   0.0340  -0.0080  -0.1330  -0.1440    51    31    46    30   12.6   11.8   12.4    8.7    91    88    94    83
       9 00000011   0.0500   0.0200  -0.1450  -0.1390    56    28    53    41   13.4   10.9   13.7   11.4    91    88    96    92
      10 00000011   0.0670   0.0400  -0.1410  -0.1310    55    25    41    34   13.2    9.9   11.4    9.8    91    81    90    88
      11 00000011   0.0280   0.0400  -0.1120  -0.1040    38    25    28    29   10.0    9.9    8.1    8.4    86    82    83    80
      12 00000011   0.0690   0.0240  -0.0880  -0.0920    38    23    28    28   10.0    9.2    8.1    8.1    86    85    84    79
      13 00000011   0.0570  -0.0120  -0.0830  -0.0930    41    21    32    25   10.7    8.4    9.3    7.1    90    87    86    81
      14 00000011   0.0380  -0.0180  -0.0860  -0.0850    40    24    41    24   10.5    9.5   11.4    6.8    87    86    93    79
      15 00000011   0.0780  -0.0140  -0.0740  -0.0770    43    23    35    25   11.1    9.2   10.1    7.1    90    86    89    80
      16 00000011   0.0680  -0.0040  -0.0690  -0.0770    36    25    41    24    9.5    9.9   11.4    6.8    88    92    91    82
      17 00000011   0.0580  -0.0060  -0.0630  -0.0710    47    33    42    27   11.9   12.3   11.6    7.8    93    91    92    84
      18 00000011   0.0760  -0.0240  -0.0590  -0.0680    44    28    40    26   11.3   10.9   11.2    7.5    92    85    92    83
      19 00000011   0.0700  -0.0280  -0.0580  -0.0600    51    25    43    29   12.6    9.9   11.8    8.4    96    92    92    86
      20 00000011   0.0860  -0.0060  -0.0590  -0.0570    44    29    43    28   11.3   11.2   11.8    8.1    94    91    94    85
      21 00000011   0.0720  -0.0300  -0.0540  -0.0610    57    22    29    23   13.5    8.8    8.4    6.4    96    86    90    75
      22 00000011   0.0760  -0.0180  -0.0590  -0.0580    48    17    45    27   12.0    6.5   12.2    7.8    94    79    96    86
      23 00000011   0.0600  -0.0160  -0.0570  -0.0610    33    25    37    28    8.8    9.9   10.5    8.1    89    87    93    90
