       1 00000011   0.0400  -0.0130   0.0620   0.0530    52    28    34    24   12.7    9.9    9.8    6.8    92    87    86    83
       2 00000011   0.0000  -0.0330   0.0610   0.0570    44    29    33    23   11.3   10.2    9.5    6.4    89    91    85    66
       3 00000011  -0.0140  -0.0030   0.0640   0.0550    43    27    29    22   11.1    9.5    8.4    6.0    89    87    87    81
       4 00000011   0.0060   0.0130   0.0600   0.0530    44    26    48    25   11.3    9.2   12.8    7.1    89    88    93    77
       5 00000011   0.0410   0.0230   0.0590   0.0540    41    28    34    30   10.7    9.9    9.8    8.7    85    87    87    84
       6 00000011   0.0220   0.0170   0.0530   0.0520    43    24    34    29   11.1    8.5    9.8    8.4    88    86    90    83
       7 00000011   0.0180  -0.0050   0.0480   0.0400    40    26    31    27   10.5    9.2    9.0    7.8    89    88    85    85
       8 00000011   0.0300  -0.0210   0.0380   0.0310    49    23    35    25   12.2    8.1   10.1    7.1    92    86    90    77
       9 00000011   0.0060  -0.0070   0.0290   0.0310    52    26    34    28   12.7    9.2    9.8    8.1    91    81    86    82
      10 00000011   0.0080  -0.0340   0.0250   0.0240    45    25    30    24   11.5    8.9    8.7    6.8    91    85    85    80
      11 00000011   0.0100  -0.0300   0.0070   0.0170    45    23    34    24   11.5    8.1    9.8    6.8    90    78    91    79
      12 00000011  -0.0140   0.0030   0.0070   0.0120    49    24    37    26   12.2    8.5   10.5    7.5    92    83    92    79
      13 00000011  -0.0260  -0.0120   0.0070   0.0080    49    23    36    23   12.2    8.1   10.3    6.4    92    80    90    77
      14 00000011  -0.0290  -0.0360  -0.0040   0.0060    40    23    30    24   10.5    8.1    8.7    6.8    88    81    89    83
      15 00000011  -0.0130  -0.0100  -0.0030   0.0040    46    22    35    26   11.7    7.8   10.1    7.5    89    78    87    83
      16 00000011   0.0090  -0.0320  -0.0050   0.0000    47    23    34    33   11.9    8.1    9.8    9.5    88    79    89    88
      17 00000011  -0.0050  -0.0280  -0.0090  -0.0060    41    25    33    31   10.7    8.9    9.5    9.0    89    81    90    89
      18 00000011   0.0130  -0.0260  -0.0070   0.0020    45    22    30    32   11.5    7.8    8.7    9.3    92    79    83    85
      19 00000011   0.0530  -0.0040  -0.0030  -0.0010    46    21    25    24   11.7    7.4    7.1    6.8    90    82    80    81
      20 00000011   0.0380  -0.0020  -0.0020  -0.0010    43    19    26    19   11.1    6.5    7.5    4.7    90    67    77    74
      21 00000011   0.0340  -0.0300   0.0010  -0.0030    43    23    26    18   11.1    8.1    7.5    4.3    91    81    83    63
      22 00000011   0.0610  -0.0320  -0.0080   0.0020    39    22    27    21   10.2    7.8    7.8    5.6    88    78    80    76
      23 00000011   0.0450  -0.0260  -0.0020   0.0050    38    20    27    21   10.0    6.9    7.8    5.6    90    75    86    68
      24 00000011   0.0470  -0.0430  -0.0030  -0.0040    40    15    27    22   10.5    4.4    7.8    6.0    89    73    77    76
      25 00000011   0.0670  -0.0320  -0.0050  -0.0070    28    20    26    26    7.4    6.9    7.5    7.5    79    77    82    82
      26 00000011   0.0310  -0.0280  -0.0100  -0.0060    32    23    26    24    8.5    8.1    7.5    6.8    88    84    83    80
      27 00000011   0.0310  -0.0200  -0.0100  -0.0130    33    19    30    23    8.8    6.5    8.7    6.4    81    78    89    80
      28 00000011   0.0480  -0.0120  -0.0100  -0.0150    29    19    29    21    7.7    6.5    8.4    5.6    82    76    82    75
      29 00000011   0.0710  -0.0240  -0.0070  -0.0150    27    19    29    22    7.0    6.5    8.4    6.0    74    75    87    80
      30 00000011   0.0500   0.0170  -0.0140  -0.0150    30    19    28    26    8.0    6.5    8.1    7.5    84    73    86    83
